Nama	Alamat	Email	website	Telp	Fax	Pengasuh
Al-Hikmah (putra-putri)	Jl.Kaum Selatan Ds. Mangunreja Kec. Mangunreja Kab. Tasikmalaya 46462 Jawa Barat	-	-	 (0265)542334  	-	KH. Atang Kamaludin,R & Abdu Malik Ibrahim,SHI
AL-HIKMATUJJIN	Kp. Duren Ds. Mulyasari Kec. Cilaku Kab. Cianjur Jawa Barat	-	-	 081395241749  	-	
AL-HILAL (Putra-Putri)	Kp. Sigeung, Rt 01/01, Desa Solear, Kecamatan Solear, Kabupaten Tangerang, Banten Banten	-	-	 081386697906  	-	Ust. Ahmad Saefullah
AL-HIZAIYAH (Putra-Putri)	Kp. Cisalak, Rt 02/04, Desa Cireundeu, Kecamatan Solear, Kabupaten Tangerang, Banten Banten	-	-	 081382273410  	-	Ust. Suparman
Al-Huda (Putra-Putri)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 0274- 625844  	-	Agus Rifqi Aziz Maï¾sum ZT
Al-Huda Mbonggah (80)	Jl.letjend soeprapto 1c no.1 Ploso Nganjuk Jawa Timur Jawa Timur 	  bochumono@ymail.com	  alhuda.blogspot.com 	 0358-325 507  	-	KH. Ahmad Badrus Sholeh
AL-HUSNA (putra-putri)	BANDUNG KRAJAN Rt.001 Rw.005 DIWEK JOMBANG Telp. 0321-6207826/4168835 Jawa Timur 	  www.tpq.alhusna.jombang.go.id	  www.tpq.alhusna.jombang.go.id 	 0321-6207826/4168835  	-	M.ISHOMUDDIN
Al-Husna (putra-putri)	Marindal I Patumbak Deli Serdang Sumatera Utara 	-	  http://www.ponpesalhusna.wordpress.com	 	-	Ust. M. Najmil Husna, MA
AL-IBROHIMY (Putra-Putri)	LEGUNDI PACIRAN KAB. LAMONGAN Jawa_Timur 	  -	  - 	 081332485001 	 - 	Ust. ABDUL GHONI MANAN
Al-idris (Putra)	jl.karang rejo wonokromo surabaya kode pos 60432 Jawa_Timur	-	-	 0318273955 	 - 	KH.mashari
Al-Idrisiyyah	Jl. Raya Ciawi Km. 8, No. 79 Pagendingan Tasikmalaya 46153 Jabar 	  pesantren@al-idrisiyyah.com	-	 (0265) 421077  	-	
AL-IHSAN (Putra-Putri)	KAUMAN KEMIRI - PURWOREJO Jawa_Tengah	-	-	 	-	KHR. DJUNAIDI DJAZULI & KR. ACHMAD FAUZI
al-ihsan (Putra-Putri)	jln AMD.kadomas pandeglang Banten 	  herman_coga@yahoo.co.id	-	 	-	K.H asmuni M.NooR
Al-Ihsan Boarding School (Putra-Putri)	Jl. Kubang Raya Kecamatan Siak Hulu Kabupaten Kampar Riau	-	-	 0761 - 572312 	 0761 - 572312 	K.H. M. Ghazali, Lc
Al-Ihya 'Ulumaddin (Putra-Putri)	kesugihan, Cilacap, Jawatengah, 25374 Jawa_Tengah 	  cobiasaaza@yahoo.com	  maminat-clp.sch.id 	 (0282) 695032  	-	KH. Khasbulloh Badawi, BA.
Al-IIkhlas (Putra-Putri)	JlPanunggulan No 3B Jawa_Tengah	-	-	 (0295) 381287  	-	KH. Abdul Mun'im
Al-Ikhlash	Ciawilor Kuningan 45991 Jabar 	  alihlas@plasa.com	-	 (0232)878462  	-	Drs. M. Tata Taufik M.Ag
AL-IKHLASH (Putra-Putri)	Jl. Sunan kudus no 21 bawang - batang - jateng Jawa_Tengah 	  isqowi_indaddin@yahoo.com	-	 081328014122 - 081380829999  	-	Ustadz Muhammad Suhaelly Masya (Gus Hely)
Al-ILYASIYYAH (Putra)	Jln. Cilengkrang I, Sekehonje, Cibiru Bandung Jawa_Barat	-	-	 	-	K.R. Dudu Abdussalam
Al-Iman (Putra-Putri)	Jalan Talun Km.1 Patosan Sedayu Muntilan Magelang Jawa_Tengah 	-	  -	 0293-587367 	 0293-585694 	Muhamad Zuhaery Yunus, MA
al-iman muntilan (Putra-Putri)	jl. talun km.1 patosan sedayu muntilan Jawa_Tengah 	  pondokiman@yahoo.com	-	 (0293) 587367  	-	ust. muhammad zuhaery,MA
AL-IMDAD (Putra-Putri)	KAUMAN WIJIREJO PANDAK BANTUL YOGYAKARTA DI_Yogyakarta 	  pondokalimdad@yahoo.co.id	  pondokalimdad.wordpress.com 	 02743286000  	-	Drs. KH. Habib Abdussyakur, M.Ag
AL-INTIBAH (Putri)	TRIAS ESTATE - CIBITUNG - BEKASI Jawa_Barat	-	-	 ( 021 ) 88320926  	-	AL-USTAD SYUKRON AL-FAIZ
Al-Ishlah	Bobos Sumber Cirebon Jabar	-	-	 (0231)342574-342575  	-	
Al-Ishlah (Putra-Putri)	Jl. Raya Bungah Gresik 62252 Jawa_Timur 	  upiq03@gmail.com	-	 	-	KH. Maimun Adnan
Al-Ishlah (putra|-|putri|-|)	Ds. Trowulan Kab. Mojokerto Jawa timur 	  ppalishlah@gmail.com	  http://ppalishlah.blogspot.com 	 0321716316 	3217163166	KHM Ghufron Dimyati
Al-Islah	Bungah Gresik Jatim	-	-	 	-	H. Bahruddin
Al-Islahiyah (Putri)	Jl. Kramat 46 Singosari Malang Jatim	-	-	 	-	Ny. Hasbiyah
Al-Islam (Putra-Putri)	Jl. mayjend. Edi Sukma KM. 17  Kp. Curugdengdeng. Ds/Kec. Caringin Kab. Bogor 16730 Jawa_Barat 	  mshopiullah@yahoo.co.id	-	 02514759786 / 085719799036  	-	Moh. Shopiullah, S.Th.I
Al-Islamiyah	Jl. Veteran 93 Bugul Lor Pasuruan Jatim	-	-	 	-	Ny. Umi Hanik
Al-Islamiyah Al-Mustaqimiyah (Putra-Putri)	Jl. Ghozali Kampung Arab Lumajang Jawa_Timur	-	-	 0334-885953  	-	KH. Ali MAhrus
Al-Istiqomah (Mahasiswa)	Jl. Kanggraksan Kel. Harjamukti Kota Cirebon Jawa_Barat	-	-	 481850  	-	K. Fathullah Rahman
AL-ITQAN DEPOK (Putra-Putri)	JL.REVOLUSI RT-03RW-03 SUKAMAJU-SUKMAJAYA DEPOK Jawa_Barat 	  tmabrur@yahoo.com	  www.tkmmandiri.co.cc 	 02170244019  	-	K.H.YUSUF HS,
AL-ITQON (Putra-Putri)	JL.H.SELONG DURI KOSAMBI CENGKARENG JAKARTA BARAT DKI_Jakarta	-	-	 021 5453788  	-	KH.MAHFUDZ ASIRUN
Al-Ittihad (Putra-Putri)	Jl. Raya Bandung km3 Bojong Karangtengah Cianjur Jawa_Barat	-	-	 (0263)280051  	-	K.H Khamali Abdul Ghani
Al-Izzah (Putri)	Jl. Masjid Baitul Izzah, Bandung Rejo, Mranggen, Demak 59567 Jawatengah Jawa_Tengah	-	-	 02470775276  	-	Miftahul Huda, M.Ag
Al-Jawami (putra-putri)	Kp. Sindangsari RT 003 RW 21 Desa Cileunyi Wetan Kecamatan Cileunyi Kabupaten Bandung 40393 Jawa Barat 	  pesantrenaljawami@gmail.com	-	 0227836499 	227836499	KH. Imang Abdul Hamid
Al-Kahfi Somalangu (550 orang)	Desa Sumberadi, Kecamatan Kebumen, Kabupaten Kebumen Jawa Tengah 	  alkahfi@al-kahfi.net	  al-kahfi.net 	 0287 3871024 	 0287 382979 	Al-Ustadz As_Sayid Afifuddin bin Chanif Al-Hasani
al-Kamal (Putra-Putri)	Kunir Wonodadi Blitar Jawa_Timur 	  asmawi_mahfudz@yahoo.com	-	 0342-551640, 0342551038  	-	Drs. KH. Mahmud Hamzah, Ust. Dr. H. Asmawi Mahfudz, MA
Al-Kamiliyyah (398)	Jl. Sunan Gunung Djati Rt.03/Rw.01 Sindang Mulya Cibarusah, Bekasi, Indonesia 17343 JABAR 	  alkamiliyyah@gmail.com	  alkamiliyyah.blogspot.com 	 02189952710  	-	KH. Yusuf Kamil
Al-Kandiyas (Putra)	Krapyak Kulon Panggungharjo Sewon Bantul DIY DI_Yogyakarta 	  -	  - 	 08164266555 	 - 	KH. Ridwan Em Noer
Al-Karimi	Tebuwung Dukun Gresik Jatim	-	-	 	-	KHA Zaini Rosyid
Al-Karimiyah	Gapura Sumenep Jatim	-	-	 	-	
Al-karimiyah (Putra-Putri)	Sawangan depok Jawa_Barat	-	-	 0251 612151 	 0251 612151 	KH. A Damanhuri
AL-KHAIRIYYAH (Putra-Putri)	Kp. Pataruman, Ds. Mulyasari, Kec. Cilaku, Kab. Cianjur Jawa_Barat 	  otangsuparlan@yahoo.com	-	 08886057400 / 081394326357  	-	K. Afif Thohir & Lilis Mukhlishoh
AL-KHOLIDIN (Putra-Putri)	Jl. Wijaya I/Iskandarsyah Raya  Blok O Melawai Kebayoran Baru Jakarta Selatan DKI_Jakarta 	  smp_al_kholidin@yahoo.com	  - 	 0217234378 	7234378	KH. Muhammad Zakwan Abd Hamid
Al-kholidin (Putra-Putri)	Jl wijaya I Blok O DKI_Jakarta	-	-	 0217234378 	217234378	Kh. Muhammad Zakwan
AL-KHOLIL (Putra-Putri)	JL. JETIS I SIDOARJO Jawa_Timur	-	-	 031-8948304  	-	KH. KHOLILURROHMAN
Al-Khoziny (Putra-Putri)	Jl. KHR. Moh. Abbas I/18 Buduran Sidoarjo Jawa_Timur 	-	  www.al-khoziny.com	 0318921560  	-	KHR. Abd. Mujib Abbas
Al-kifahi Al-Tsaqafy	Jl. Sawo Kecik - Jl.Ros Timur V Rt. 005/05 No.27 Kelurahan Bukit Duri, Kecamatan Tebet Jakarta Selatan DKI_Jakarta	-	-	 (021)8281238  	-	Habib Umar Bin Abdurrahman Assegaf
Al-Ma'hadul Islamy Assalafiy Miftahul Ulum (Putra)	Tamanan Karangrejo Tulungagung Jawa_Timur 	  habiby_alajamy@yahoo.co.id	-	 0355-7717001  	-	KH.Muhaimin Ghozali,K.Habibiy Mahbub Al Ajamiy
AL-MA'RUF (Putra-Putri)	Lamongrejo Gg.Ababil No.19 Kranggan Sidokumpul Lamongan Jawa_Timur 	  Al-Ma'ruf_07@yahoo.co.id	-	 0322 322573  	-	KH.ABDUL AZIZ CHOIRI
Al-Manar	Krueng Barona Jaya Cot Irie Aceh Besar DI_Aceh 	  msthafa_85@yahoo.com	-	 085277096569  	-	Ust. Syarifuddin, M.Ag
Al-Manshur	Popongan Tegalgondo Wonosari Klaten Jateng	-	-	 (0271) 551762  	-	H.M. Salman Dahlawi
al-manshur (Putra-Putri)	jl. masjid 13 kauman wonosobo Jawa_Tengah	-	-	 0286322766  	-	KH. A. CHAIDAR IDRIS
Al-Manshur Darunnajah 3 (Putra-Putri)	Jl. Palka Km.07 Pabuaran Serang Banten Banten 	  almanshurdn3@yahoo.co.id	  www.darunnajah3.com 	 0254-250950 	 0254-250950 	Drs.KH. Mustofa Hadi Chirzin
Al-Mansyuriyyah (200)	Sikembang Lumeneng Paninggaran Pekalongan Jawa Tengah	-	-	 	-	KH. Mansyuruddin
al-mardliyyah (Putri)	Jl. KH. Wahab Hasbullah no. 120A Jawa_Timur 	  al.mardliyyah@gmail.com	  al-mardliyyah.blogspot.com 	 (0321)867604  	-	KH. M. Yahya Husnan
Al-Masthuriyah	Jl. Raya Tipar Cisaat Po.Box 33 Sukabumi 43101 Jabar	-	-	 0266-225888  	-	KH. E Fachrudin Masthuro
Al-Masthuriyah (Putra-Putri)	tipar Cisaat Sukabumi PO BOX 33 Jawa_Barat	-	-	 	-	
Al-Masyhuriyyah (Putra)	Krapyak Kulon Panggungharjo Sewon Bantul DIY DI_Yogyakarta 	  -	  - 	 (o274)382537 	 - 	Ny. Hj. Umi Salamah AQ
Al-Mawaddah	Coper-Jetis-Ponorogo Jawa_Timur	-	-	 O352311292  	-	Luthfi
AL-MIFTAH (Putra-Putri)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 0274- 625854  	-	Moh Sholeh
Al-Mizan	Jn. Raya Timur No. 456 Ciborelang Jatiwangi Majalengka 45454 Jabar	-	-	 (0233) 881661  	-	KH. Maman Imanulhaq Faqieh atau Mas Zaenal Muhyidn
Al-Mizan (Putra-Putri)	Jl. Raya Timur No. 1/456, Ciborelang, Jatiwangi 4545 Majalengka, Jawa Barat Jawa_Barat 	  pst_almizan@yahoo.co.id	  - 	 0233-881661, 881024 	 0233-881024, 882500 	KH. Maman Imanulhaq Faqieh
AL-Mu'awanah	Jl Alun-alun Timur Kecamatan Menes Pandeglang Banten 	  alannabi@hotpop.com	-	 (0253) 51167  	-	KH Ma'ani Rusydi
AL-MUAWANAH (putra-putri)	Parakansalak Sukamerang Kersamanah Garut Jawa Barat 	  saka212001@yahoo.com	-	 (0262)438811  	-	WAWAN SETIAWAN ANWAR
AL-MUAYYAD (Putra-Putri)	JL KH SAMAN HUDI NO 64 MANGKUYUDAN SURAKARTA Jawa_Tengah 	  kop.almuayyad@telkom.net	-	 (0271)727138 	 (0271)720146 	Drs. Kh Abdul Rozaq Sofawi
al-muayyad windan (Mahasiswa)	windan rt o2 rw 08 makamhaji kartasura sukoharjo Jawa_Tengah 	  amwin@telkom.net	-	 0271 726288 	 0271 726288 	KH. Dian Nafi'
Al-Muayyad Windan (Mahasiswa)	Windan rt02/8 makamhaji kartasura, sukoharjo Jawa_Tengah 	  amwin@telkom.net	-	 0271726288 	271726288	KH. Dian Nafi', M.Pd
Al-Mubarak	Jl. Poros Sengkang - Palopo, Kelurahan Tobarakka, Kota Siwa, Kecamatan Pitumpanua, Kabupaten Wajo Sulawesi_Selatan	-	-	 0421-22611  	-	
al-Mubarok (Putra-Putri)	barakan Lumeneng Paninggaran Pekalongan Jawa_Tengah	-	-	 0285521057  	-	KH. fadloli Nahrawi
Al-Mubarok (Mahasiswa)	Jl.Joyo Mulyo 340A Malang Jawa_Timur 	  el_bark@yahoo.com	-	 0341(570782)  	-	KH.SUYUTHI ASYRAF
Al-Muhajirin (Putra-Putri)	Jl.Nyi Arum Sari No.43 Jawa_Barat 	  hidayatus_shibyan@yahoo.co.id	  www.hidayatusshibyan.co.cc 	 08112404380  	-	Moh.Iqbal
al-muhajirin 1 bahrul ulum (Putra-Putri)	tambakberas jombang Jawa_Timur	-	-	 (0321) 862017  	-	
Al-Mukhlashuun (Putra-Putri)	Jl Irigasi no.2 Kemped Wirakanan Kandanghaur Indramayu Jawa_Barat 	  pp_mukhlashuun@yahoo.com	  - 	 08170078899 	 - 	K. Moh. Yunus
Al-Munawaroh (Putri)	Jl. KH Abd. Hamid IX/49 Gadingrejo Pasuruan Jatim	-	-	 0343-424575  	-	Ny. Uswatun Hasanah
Al-Munawwariyah (Putra-Putri)	Jl. Raya Sudimoro Bululawang Malang Jatim	-	-	 	-	KH Maftuh Said
Al-Munawwaroh (Putra-Putri)	Jl. Cipancur - Cikanyere - Kec. Rajadesa - Kab. Ciamis Jawa_Barat 	  Al_Munawwaroh@gmail.com	  - 	 0253 2795998 	 0253 2795998 	K. Dedi Ubaidillah
Al-Munir (putra-putri)	Cinunjang Gunungtanjung Tasikmalaya Jawa Barat	-	-	 08157942641  	-	KH. Acep Misbahulmunir
Al-Muniroh (Putra-Putri)	Jl. Pendidikan No.1, Ujungpangkah-Gresik Jawa_Timur 	  pesantren_almuniroh@yahoo.com	  - 	 031-70200267 	 - 	KH. Mahmudi Ambar
AL-MUSHTOFA (Putra-Putri)	Tenjo - Bogor (Dekat stasiun Tenjo) Jawa_Barat	-	-	 021-59761534  	-	KH. JOHARUDIN MUSHTOFA
AL-MUSLIMUN (Putra-Putri)	Jl. Mufakat Mandin Kotabaru Kalimantan_Selatan	-	-	 	-	
Al-Musyaffa'	Kampir Sudipayung Ngampel Kendal Jateng	-	-	 (0294)384512  	-	KH. Muhlis Musyaffa'
Al-Musyahadah	Jl. Raya Cilember no. 27 Blk. 283 Kec. Cimahi Kota Cimahi 40522 Jabar	-	-	 (022) 6645350  	-	
AL-MUTHMAINNAH (Putra)	Jl.raya Sukabumi talang dua cimande kp.cikodok 02/03 ds.lemahduhur kec.caringin 16730 kab.Bogor Jawa_Barat	-	-	 085693449007  	-	Kh.Ahmad dimyati kholidi
Al-Muttaqin (putra-putri)	Jln. Raya Saketi-Malingping Km. 25.5 Kp. Cisampih Ds. Cisampih Kec. Banjarsari Kab. Lebak Banten 	  fbawafi@yahoo.co.id	-	 081318860646  	-	Kyai Antawi
al-Qadiry (Putra-Putri)	Sentol Pademawu Pamekasan Jawa_Timur 	  syukronaffanijaq@yahoo.com	-	 0324 324106  	-	Drs. KH. Jalaluddin
Al-Qodiri	Jl. Manggar Patrang Jember Jatim	-	-	 	-	KH A. Muzakki Syah
AL-QUDWAH AL-MUQODDASAH	Jl. Kayu Tinggi No. 58 Rt. 07/06 Cakung Timur Cakung Jakarta Timur Jawa_Barat	-	-	 021-99717250  	-	Drs. KH. Ahmad Fauzi, HM, M.Ag
AL-QUR'AN AL-FALAH 1 (Putra-Putri)	CICALENGKA BANDUNG Jawa_Barat	-	-	 022 7949232  	-	KH.AHMAD SYAHID
Al-Qur,an DAARUL QURO (Putra-Putri)	Kp. Bunar, Rt 03/01, Desa Suka Tani, Kecamatan Cisoka, Kabupaten Tangerang, Banten Banten	-	-	 081385066325  	-	Ust. Muhdi Hamidi
Al-Qur'aniyah	Jl. Tumapel Singosari Malang Jawa_Timur	-	-	 	-	K Abdul Kholiq
Al-Qurat	Jl. Raya Sukabumi-Cianjur Km.10, Sukaraja, PO Box. 87 Sukabumi Jabar	-	-	 (0266) 260260, 260270, 260199  	-	Ust. Sirajudin
al-umm	ciawi, bogor Jawa_Barat	-	-	 	-	
Al-Usymuni	Terate Pandian Sumenep Jatim	-	-	 	-	KH Abdullah Kholil
Alaziziyah 2 (Putra-Putri)	Jl raya bancaran sebaneh utara bangkalan Jawa_Timur	-	-	 081554133699  	-	Kh abdullah chon tobroni
alfirdaus (Putra-Putri)	jl.taqwa matamerah kecamatan kalidoni kota palembang 30119 Sumatera_Selatan 	  alfirdaus@plg.cm	-	 0711.718914  	-	ust.tajuddin hamzah Lc
Alfutuhiyyah (Putra Putri)	Jl.Dipati Ukur No.19 Rt 01/09 Cibodas Tangerang Banten 	  alfutuhiyyahtangerang@yahoo.co.id	  www.alfutuhiyyahtangerang.blogspot.com 	 (021)5583720  	-	Alfaqir Muhammad Dzunnun Alhumaidy
ALGHOZALI BAHRUL ULUM (Putra-Putri)	TAMBAK BERAS JOMBANG Jawa_Timur 	  ROVIGIZ@PLASA.COM	  WWW.TAMBAKBERAS.COM 	 0321862197 	321862197	NY HJ MUCHTAROH ALFATICH
Alhidayat (Putri)	Kedung lumpang salaman magelang Jawa_Tengah 	  najadur@gmail.com	-	 081328541143  	-	Nyai Sinthok nabilah
Alhuda (Putra-Putri)	Kp. Pasirasem, 05/02, Sindangjaya, Ciranjang, Cianjur Jawa_Barat 	  burhan.rosyidi@yahoo.co.id	  - 	 (0263)271601 	 - 	KH. Zainal Arifin
alkifahi atsaqofy (Putra-Putri)	bukit duri DKI_Jakarta	-	-	 	-	habib umar bin abdurrahman assegaf
Alluqmaniyyah (Putra-Putri)	Jalan Babaran Gang Cemani UH V/759-P Yogyakarta 55161 DI_Yogyakarta 	  pplqjogja@gmail.com	  http://pplq.wordpress.com/ 	 (0274) 377838  	-	Kh. Najib Salimi
Almanar Islamic Boarding School (Putra-Putri)	Desa/Kelurahan Limo, Depok Jawa_Barat	-	-	 +62217548378  	-	KH. Manarul Hidayat, MA
ALMUBAROK (Putra-Putri)	MEDONO PEKALONGAN Jawa_Tengah 	  almubarok@plasa.com	-	 0285-7906369  	-	KH ZAKARIA ANSHOR
ALMUKHTARIYAH SIBUHUAN (Putra-Putri)	PASAR SIBUHUAN KEC. BARUMUN KAB. TAPANULI SELATAN Sumatera_Utara 	  taufiqhsb@yahoo.co.id	  - 	 0636-421004 	 - 	KH. MUKHTAR MUDANASUTION
al_masyhur (Putra-Putri)	Ds.manunggal jaya. kecamatan.rambang dangku. kabupaten. muara enim Sumatera_Selatan 	  vicqzou@yahoo.com	  www.al_masyhur.com 	 08153568719  	-	H.M.Nailun Ibrori.B.A
AL_MUJADDADIYYAH (315)	JL. SETINGGIL NO. 1 DEMANGAN JAWA TIMUR 	  pendekar_mudda@yahoo.co.id	  - 	 0351457861 	 - 	KH. AGUS MUSHOFFA Izz, M.Pd.I
Amanah Muhammadiyah (Putra-Putri)	Jl. Sambongjaya No.50 Tasikmalaya ` Jawa_Barat	-	-	 (0265) 340349 	 (0265) 340349 	Drs. KH. Faqih Zainuddin
Amanatul Ummah	Siwalankerto Utara II/7 Surabaya Jatim	-	-	 031-8435537  	-	KH Asep Saifuddin
AN NABAH EL KASOKA (putra-putri)	SOBOKARANG GIRIREJO TEGALREJO MAGELANG JAWA TENGAH 	  Hayat_elmaky@yahoo.com	-	 085643508401  	-	Hayatul Maky
An Nahdlah	Tinumbu No. 272 Makassar Sulawesi_Selatan	-	-	 (0411) 332073 - 328130  	-	Drs. KH. Muh Harisah AS
An-Nasyath	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta 	  annasyath@yahoo.com	-	 (0274) 625809  	-	KH M. Sami'an Mh
An-Nawawi (Putra-Putri)	Berjan Gebang Purworejo Jawa_Tengah	-	-	 0275-322185 	 0275-322596 	Kh. ACHMAD CHALWANI
AN-NIDHOMIYAH (Putra-Putri)	Jl. Raya Ngelom 179 Sepanjang Taman Sidoarjo Jawa_Timur 	  -	  - 	 0317881690 	 - 	KH. Badrus Sholeh
An-Nuqayah	Guluk-guluk Sumenep Jatim	-	-	 	-	KH Warits Ilyas
An-Nur (Mahasiswa)	Wonocolo Gang Mudin No. 10 Surabaya Jatim	-	-	 031-8433288  	-	Dr. Imam Ghazali S.
an-Nur (Putra)	Sidoresmo Dalam 52A Surabaya Jawa_Timur	-	-	 (031)8492833  	-	KH. Mas Busyairi
AN-NUR (Putra-Putri)	Jln. K.H Ahmad Djalal dusun Kersan Desa Tegorejo Kabupaten Kendal Jawa_Tengah	-	-	 (0294) 383694-383680  	-	K.H Subkhan Noer dan K.H Izzuddin Abdussalam
An-Nur 1 (560)	Jl. Diponegoro IV / 2-6 Bululawang Malang 65171 Jawa Timur 	  annursati@gmail.com	  annu1.net 	 (0341) 805610 - 833105  	-	KH. A. Fahrur Rozi Burhan, M.Pd
An-Nur II	Jl. Raya Bululawang Malang Jatim	-	-	 	-	KH Badruddin
An-Nur III	Jl. Diponegoro Bululawang Malang Jatim	-	-	 	-	K. A. Qusyairi
An-Nuriyah	Kaliwining Rambipuji Jember Jatim	-	-	 	-	M Nur Sholeh
Aniesah (Putri)	Jl. Imam Bonjol no 178 Jember Jatim 	  avi_vi@yahoo.com	-	 (0331)483803, 0812 356 9092  	-	Dr. Ir. H. Sholeh Avivi, MSi
Annahdlah	Jl. Tinumbu No 272, Makassar Sulawesi_Selatan	-	-	 	-	
Annahl Darunnajah 5 (230 santri dan 24 guru)	Tunjungan Cikesik Malimping Pandeglang Banten Banten 	  pesantrenannahl@yahoo.com	  http://www.darunnajah.com/?p=57 	 081318063699 	 021 73880158 	Kyai Sodiq
Annakhil Darunnajah 6 (79 santri 27 Guru)	Dsn Sambirejo Ds Bantal Muko-muko Bengkulu bengkulu 	  sofwanm2001@yahoo.com	  http://annakhil.blogspot.com/ 	 08161676560, 081369782195 	 021 73880158 	Kyai Andi Aziz
Annidzom (Putra-Putri)	jl.selabintana km 3,5 sukabumi Jawa_Barat 	  wahid_fauzi@yahoo.com	-	 (0266)223328 	 (0266)223328 	KH.Abdullah Muhtar
Annidzom (KH. Abdullah Muchtar) (Putra-Putri)	Jl. Raya Selabintana KM. 3,5 Jawa_Barat	-	-	 	-	(KH. Abdullah Muchtar)
Annizhomiyyah (Putra-Putri)	Jalan Raya Labuan Km 2 Jaha Labuan Pandeglang Banten Banten 	  tbace76@yahoo.com	  www.pesantrenglobal.com/Annizhomiyyah 	 0253-801427-803843 	 0253-803843 	KH Tb A. Rafei Ali
annuqoyah (Putra-Putri)	nyamplong rt 03/01 sumberanyar banyuputih situbondo Jawa_Timur 	  vicky_cell19@yahoo.co.id	  www.salafiyah_annuqoyah.com 	 087857222322  	-	kiayai rahbini as zahrowi
ANNUR AL AZHAR	JL.DIPONEGORO iv nO. 20 BULULAWANG ,ALANG Jawa_Timur 	-	  YPI_ANNUR_ALAZHAR@YAHOO.COM	 0341-833137 	 0341-833137 	
Annur Darunnajah 8 (130 santri dan 42 Guru)	Cidokom Gunung Sindur Bogor Jawa Barat 	  sofwanm2001@yahoo.com	  http://www.darunnajah-multimedia.com 	 02173880158 	 021 73880158 	Kyai Hadiyanto Arief, SH, MBs
Annuroniyah	Jl. KHM. Kholil IV/37 Demangan Timur Bangkalan Jawa_Timur 	  demtim001@yahoo.co.id	  www.annuroniyah.net 	 031-3090399  	-	KH. Muhammad Faishol Anwar
Aqidah Usymuni	Terate Pandian Sumenep Jatim	-	-	 	-	Ny. Hj Aqidah Usymuni
Aqulu el Muqoffa (Putra-Putri)	Jl.Raya Palembang-Betung Km.14 Komp.Yayasan AKUIS, Kab.Banyuasin Sumatera_Selatan 	  abumafaza@gmail.com	  http://al-ulama.net 	 0711-432456 	 0711-432479 	Ustadz Noviandi
AR RAHMAH (Putri)	Gendis Purwotengah Papar Kediri Jawa_Timur 	  arrahmah@yahoo.com	-	 0354-395962  	-	Ibu Ny. Lilik Badriah
ar Rahmah (Putra-Putri)	Jl. air meles atas curup bengkulu Bengkulu	-	-	 	-	
Ar Ridwan Pedurenan (Putra-Putri)	kp.pedurenan ds.jati luhur kec. jati asih Bekasi Jawa Barat Jawa_Barat 	  arridwan_pdr@plasa.com	-	 (021)82421023  	-	H.Drs.M.Romli, H. Zainal Abidin Sag., Ir. Edi Pramono ME, H. Asja
AR-RASYID (Putra-Putri)	Pinang awan-labuhan batu Sumatera_Utara 	  -	  - 	 - 	 - 	andre
Ar-Raudhotul Mardiyyah (Putra-Putri)	Jl. Kiai Telinsing. Janggalan Kudus Jawa_Tengah 	  el_mardiyah@yahoo.com	  www.raudhotulmardiyah.blogspot.com 	 (0291) 445942  	-	KH. Munir Hisyam
Ar-Raudlah (Putri)	Kp.Sidadung Ds. Sindang mandi kec Baros  kab. Serang 42173 Banten 	  h4y1_080879@yahoo.com	  - 	 085646466313 	 - 	K. Drs. Afandi
Ar-Risalah (Putra)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 0274- 625818  	-	KH. Abdullah
ar-riyadh saung habib (Putra)	kp.sawah ds gunung kapur kec.rumpin bogor Jawa_Barat	-	-	 	-	ustadz mahfud dzulwafi
Ar-Rizqi (Galunggung) (Putra-Putri)	Yayasan Ar-Rizqi Cijuhung Ds. Sukaratu Kec. Sukaratu Kab. Tasikmalaya Jawa_Barat 	  yayasan_arrizqi@yahoo.com	  arrizqi.wordpress.com 	 085223600038  	-	H. Muhammad Rizqi Romdhon, B.Ed
As ad	Jl. K.H.A. Qodir Ibrahim, No. 45 Olak Kemang Kota Jambi Sumatera_Selatan 	  ponpes_asadjambi@yahoo.com	-	 (0741) 580854  	-	K.H.M. Nadjmi Qodir
as salafi (putra-putri)	nong gunong  bates blega bangkalan jawa timur 	  ajiraia@ymail.com	-	 081703251789  	-	kh syarqowi baihaqi
as salafi albaihaqi (Putra-Putri)	jl kh baihaqi nong gunong bates blega bangkalan madura Jawa_Timur 	  ajigaara@yahoo.ci.id	-	 031 3041536 	 031 3041536 	kh syarqwi baiahqi
As Sunniyyah	Kencong Jember Jatim	-	-	 (0336)321359 	 0336-322279 	
As syifa (putra-putri)	Kampung Mekar Siliwangi - Garut Jawa Barat 	  assyifa@garutleather.com	-	 	-	Jajang
As-Saadah	Cibodas Tangerang Banten	-	-	 	-	
As-SALAFIYAH (Putra-Putri)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 0274- 7435330  	-	KH. Sujaï¾I Masduqi, Ustadz A Syahro Shofi
